year,week,week_day,recipe_id,description,title,url
2023,40,Mandag,5f88a2c1-a078-7334-e19d-2bae7d71fada,"Nå er soppsesongen her! Lurer du på hva du kan lage med sopp? Her får du vår oppskrift på varmende høstsuppe med kantareller, fløte og god kyllingkraft. Server den fyldige suppen som forrett eller til hovedrett med fersk brød.",Kremet soppsuppe,/oppskrifter/Suppe/Kremet-soppsuppe/
2023,40,Tirsdag,45365543-d026-4d10-9435-877b9f0bfbc5,"Oppskrift på enkel, rask, og litt sunnere middag med fisk. Denne smakfulle retten med stekt laks, kremet sellerirotmos og syltet rødløk lager du enkelt på under 20 minutter, og den egner seg like godt til hverdag som til helg.",Laksefilet med sellerirotmos,/oppskrifter/Fisk/Laks/laksefilet-med-sellerirotmos/
2023,40,Onsdag,b597b742-e9d9-4aa4-b3a6-4572202e8c4b,"Enkel oppskrift på kylling red curry. Stekt kylling i strimler blandet med en knallgod currybase som kun skal varmes, med masse smak og akkurat passe chili for deg som liker liker det litt hot. Server gjerne med lunt nan brød og ris.",Kylling red curry,/oppskrifter/gryte/kylling-red-curry/
2023,40,Torsdag,6d0dd194-c1c9-7d6e-8888-12814f2d5f39,"Oppskrift på <a href='/tema/jul/lutefisk/Lutefiskens-historie/'>tradisjonell lutefisk</a> servert med godt tilbehør av ertestuing, bacon, sennepsaus og gode poteter. Her får du fremgangsmåten på lutefisk bakt i ovn og kokt i kjele, slik at du kan velge selv. Se film for hjelp til hvordan du lager lutefisk i ovn.",Tradisjonell lutefisk,/oppskrifter/Fisk/Torsk/Tradisjonell-lutefisk/
2023,40,Fredag,3c822f4e-8c7b-49e7-a509-51a6b94cb158,"Oppskrift på fristende, gratinert enchilada med saftig kylling, en spicy tomatsaus og masse smeltet ost. Server med gjerne med hjemmelaget guacamole som tilbehør. Denne retten går fort å lage i ovnen og er skikkelig tex-mex kosemat til hverdag og helg. Se video for steg-for-steg.",Enchiladas med kylling,/oppskrifter/Taco/enchiladas-med-kylling/
2023,40,Lørdag,12b7034f-0b54-43f9-9860-d2b1f89776f4,"Klassisk oppskrift på lammelår, eller lammestek, med ovnsbakte rotgrønnsaker og sjysaus. Lammelår er perfekt når du skal lage mat til mange, og er spesielt populært til påske, og når både lam og rotgrønnsaker er i sesong på høsten. Se også film for steg-for-steg slik at lammelåret blir helt perfekt!",Helstekt lammelår med rotgrønnsaker,/oppskrifter/Lam/Lammelar/helstekt-lammelar-med-rotgronnsaker/
2023,40,Søndag,9afe8cdb-8ee5-4d64-ba0e-b10e10343332,"Oppskrift på mør, ovnsbakt blomkål toppet med nøttesmør og olivenolje. Bakt blomkål er enkelt å lage, da den nærmest gjør seg selv i ovnen. Server som et godt vegetarmåltid, eller som tilbehør til kjøtt eller fisk. For ekstra god smak kan du gjerne servere blomkålen på en seng av potetmos, og toppe med yoghurt og vårløk.",Bakt blomkål med nøttesmør,/oppskrifter/Gronnsaker/bakt-blomkal-med-nottesmor/
2023,40,Ukens bakst,37a9ab12-474d-6ae4-cba4-6d3b04325937,"Kanelboller, kanelsnurrer, skillingsboller, alle er de myke og søte boller med fyll av kanel, smør og sukker. Baker du de i form blir de ekstra saftige og de vil heve og ligge tett så du får myke og saftige kanter. I denne oppskriften bruker vi brunt sukker, og topper bollene med melis. 1 porsjon gir ca. 8-10 boller.",Saftige kanelboller i langpanne,/oppskrifter/bakst/Sot-gjarbakst/Kanelboller-i-langpanne/
2023,39,Mandag,f8e1deb8-29d6-4ac4-8e2e-c499f96ee78e,"Enkel oppskrift på en god variant av ovnsbakte rotgrønnsaker, som vi serverer med poteter og fetaost for en mer komplett rett. Tilsett gjerne fisk, kjøtt eller kikerter så har du hele middagen klar. Grønnsakene kan du variere etter hva du har i kjøleskapet, og etter hva du liker best. Alt av høstens rotgrønnsaker og beter passer sammen.",Bakte rotgrønnsaker med honning og feta,/oppskrifter/Gronnsaker/bakte-rotgronnsaker-med-honning-og-feta/
2023,39,Tirsdag,8ea6d30c-1236-4f26-932f-f02cc42f3c20,"Oppskrift på salmaburger med chilimajones og syltet rødløk, en nydelig kombo. Fiskeburger i ferske, grove burgerbrød utgjør en rask, god og litt sunnere hverdagsmiddag på under 20 minutter. Du kan gjerne grille burgerne!",Lakseburger med syltet rødløk,/oppskrifter/Fisk/Laks/lakseburger-med-syltet-rodlok/
